PassengerId;Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked;Name_type;Name_code;Name_1
31;0;1;Uruchurtu;male;40.0;0;0;PC 17601;277.208;;C; Don;10; Manuel E
34;0;2;Wheadon;male;66.0;0;0;C.A. 24579;10.5;;S; Mr;6; Edward H
35;0;1;Meyer;male;28.0;1;0;PC 17604;821.708;;C; Mr;6; Edgar Joseph
36;0;1;Holverson;male;42.0;1;0;113789;52.0;;S; Mr;6; Alexander Oskar
38;0;3;Cann;male;21.0;0;0;A./5. 2152;8.05;;S; Mr;6; Ernest Charles
39;0;3;Vander Planke;female;18.0;2;0;345764;18.0;;S; Miss;2; Augusta Maria
40;1;3;Nicola-Yarred;female;14.0;1;0;2651;112.417;;C; Miss;2; Jamila
41;0;3;Ahlin;female;40.0;1;0;7546;9.475;;S; Mrs;8; Johan (Johanna Persdotter Larsson)
42;0;2;Turpin;female;27.0;1;0;11668;21.0;;S; Mrs;8; William John Robert (Dorothy Ann Wonnacott)
44;1;2;Laroche;female;3.0;1;2;SC/Paris 2123;415.792;;C; Miss;2; Simonne Marie Anne Andree
45;1;3;Devaney;female;19.0;0;0;330958;78.792;;Q; Miss;2; Margaret Delia
50;0;3;Arnold-Franchi;female;18.0;1;0;349237;17.8;;S; Mrs;8; Josef (Josefine Franchi)
51;0;3;Panula;male;7.0;4;1;3101295;396.875;;S; Master;1; Juha Niilo
52;0;3;Nosworthy;male;21.0;0;0;A/4. 39886;7.8;;S; Mr;6; Richard Cater
53;1;1;Harper;female;49.0;1;0;PC 17572;767.292;D33;C; Mrs;8; Henry Sleeper (Myna Haxtun)
54;1;2;Faunthorpe;female;29.0;1;0;2926;26.0;;S; Mrs;8; Lizzie (Elizabeth Anne Wilkinson)
55;0;1;Ostby;male;65.0;0;1;113509;619.792;B30;C; Mr;6; Engelhart Cornelius
57;1;2;Rugg;female;21.0;0;0;C.A. 31026;10.5;;S; Miss;2; Emily
58;0;3;Novel;male;28.5;0;0;2697;72.292;;C; Mr;6; Mansouer
59;1;2;West;female;5.0;1;2;C.A. 34651;27.75;;S; Miss;2; Constance Mirium
60;0;3;Goodwin;male;11.0;5;2;CA 2144;46.9;;S; Master;1; William Frederick
61;0;3;Sirayanian;male;22.0;0;0;2669;72.292;;C; Mr;6; Orsen
62;1;1;Icard;female;38.0;0;0;113572;80.0;B28;; Miss;2; Amelie
63;0;1;Harris;male;45.0;1;0;36973;83.475;C83;S; Mr;6; Henry Birkhardt
64;0;3;Skoog;male;4.0;3;2;347088;27.9;;S; Master;1; Harald
67;1;2;Nye;female;29.0;0;0;C.A. 29395;10.5;F33;S; Mrs;8; (Elizabeth Ramell)
68;0;3;Crease;male;19.0;0;0;S.P. 3464;81.583;;S; Mr;6; Ernest James
69;1;3;Andersson;female;17.0;4;2;3101281;7.925;;S; Miss;2; Erna Alexandra
70;0;3;Kink;male;26.0;2;0;315151;86.625;;S; Mr;6; Vincenz
71;0;2;Jenkin;male;32.0;0;0;C.A. 33111;10.5;;S; Mr;6; Stephen Curnow
72;0;3;Goodwin;female;16.0;5;2;CA 2144;46.9;;S; Miss;2; Lillian Amy
73;0;2;Hood;male;21.0;0;0;S.O.C. 14879;73.5;;S; Mr;6; Ambrose Jr
74;0;3;Chronopoulos;male;26.0;1;0;2680;144.542;;C; Mr;6; Apostolos
75;1;3;Bing;male;32.0;0;0;1601;564.958;;S; Mr;6; Lee
76;0;3;Moen;male;25.0;0;0;348123;7.65;F G73;S; Mr;6; Sigurd Hansen
79;1;2;Caldwell;male;0.83;0;2;248738;29.0;;S; Master;1; Alden Gates
80;1;3;Dowdell;female;30.0;0;0;364516;12.475;;S; Miss;2; Elizabeth
81;0;3;Waelens;male;22.0;0;0;345767;9.0;;S; Mr;6; Achille
82;1;3;Sheerlinck;male;29.0;0;0;345779;9.5;;S; Mr;6; Jan Baptist
84;0;1;Carrau;male;28.0;0;0;113059;47.1;;S; Mr;6; Francisco M
85;1;2;Ilett;female;17.0;0;0;SO/C 14885;10.5;;S; Miss;2; Bertha
86;1;3;Backstrom;female;33.0;3;0;3101278;15.85;;S; Mrs;8; Karl Alfred (Maria Mathilda Gustafsson)
87;0;3;Ford;male;16.0;1;3;W./C. 6608;34.375;;S; Mr;6; William Neal
89;1;1;Fortune;female;23.0;3;2;19950;263.0;C23 C25 C27;S; Miss;2; Mabel Helen
90;0;3;Celotti;male;24.0;0;0;343275;8.05;;S; Mr;6; Francesco
91;0;3;Christmann;male;29.0;0;0;343276;8.05;;S; Mr;6; Emil
92;0;3;Andreasson;male;20.0;0;0;347466;78.542;;S; Mr;6; Paul Edvin
93;0;1;Chaffee;male;46.0;1;0;W.E.P. 5734;61.175;E31;S; Mr;6; Herbert Fuller
94;0;3;Dean;male;26.0;1;2;C.A. 2315;20.575;;S; Mr;6; Bertram Frank
95;0;3;Coxon;male;59.0;0;0;364500;7.25;;S; Mr;6; Daniel
97;0;1;Goldschmidt;male;71.0;0;0;PC 17754;346.542;A5;C; Mr;6; George B
98;1;1;Greenfield;male;23.0;0;1;PC 17759;633.583;D10 D12;C; Mr;6; William Bertram
99;1;2;Doling;female;34.0;0;1;231919;23.0;;S; Mrs;8; John T (Ada Julia Bone)
100;0;2;Kantor;male;34.0;1;0;244367;26.0;;S; Mr;6; Sinai
101;0;3;Petranec;female;28.0;0;0;349245;78.958;;S; Miss;2; Matilda
103;0;1;White;male;21.0;0;1;35281;772.875;D26;S; Mr;6; Richard Frasar
104;0;3;Johansson;male;33.0;0;0;7540;86.542;;S; Mr;6; Gustaf Joel
105;0;3;Gustafsson;male;37.0;2;0;3101276;7.925;;S; Mr;6; Anders Vilhelm
106;0;3;Mionoff;male;28.0;0;0;349207;78.958;;S; Mr;6; Stoytcho
107;1;3;Salkjelsvik;female;21.0;0;0;343120;7.65;;S; Miss;2; Anna Kristine
109;0;3;Rekic;male;38.0;0;0;349249;78.958;;S; Mr;6; Tido
111;0;1;Porter;male;47.0;0;0;110465;52.0;C110;S; Mr;6; Walter Chamberlain
112;0;3;Zabour;female;14.5;1;0;2665;144.542;;C; Miss;2; Hileni
113;0;3;Barton;male;22.0;0;0;324669;8.05;;S; Mr;6; David John
114;0;3;Jussila;female;20.0;1;0;4136;9.825;;S; Miss;2; Katriina
115;0;3;Attalah;female;17.0;0;0;2627;144.583;;C; Miss;2; Malake
116;0;3;Pekoniemi;male;21.0;0;0;STON/O 2. 3101294;7.925;;S; Mr;6; Edvard
117;0;3;Connors;male;70.5;0;0;370369;7.75;;Q; Mr;6; Patrick
118;0;2;Turpin;male;29.0;1;0;11668;21.0;;S; Mr;6; William John Robert
119;0;1;Baxter;male;24.0;0;1;PC 17558;2.475.208;B58 B60;C; Mr;6; Quigg Edmond
120;0;3;Andersson;female;2.0;4;2;347082;31.275;;S; Miss;2; Ellis Anna Maria
121;0;2;Hickman;male;21.0;2;0;S.O.C. 14879;73.5;;S; Mr;6; Stanley George
123;0;2;Nasser;male;32.5;1;0;237736;300.708;;C; Mr;6; Nicholas
124;1;2;Webber;female;32.5;0;0;27267;13.0;E101;S; Miss;2; Susan
125;0;1;White;male;54.0;0;1;35281;772.875;D26;S; Mr;6; Percival Wayland
126;1;3;Nicola-Yarred;male;12.0;1;0;2651;112.417;;C; Master;1; Elias
128;1;3;Madsen;male;24.0;0;0;C 17369;71.417;;S; Mr;6; Fridtjof Arne
130;0;3;Ekstrom;male;45.0;0;0;347061;6.975;;S; Mr;6; Johan
131;0;3;Drazenoic;male;33.0;0;0;349241;78.958;;C; Mr;6; Jozef
132;0;3;Coelho;male;20.0;0;0;SOTON/O.Q. 3101307;7.05;;S; Mr;6; Domingos Fernandeo
133;0;3;Robins;female;47.0;1;0;A/5. 3337;14.5;;S; Mrs;8; Alexander A (Grace Charity Laury)
134;1;2;Weisz;female;29.0;1;0;228414;26.0;;S; Mrs;8; Leopold (Mathilde Francoise Pede)
135;0;2;Sobey;male;25.0;0;0;C.A. 29178;13.0;;S; Mr;6; Samuel James Hayden
136;0;2;Richard;male;23.0;0;0;SC/PARIS 2133;150.458;;C; Mr;6; Emile
137;1;1;Newsom;female;19.0;0;2;11752;262.833;D47;S; Miss;2; Helen Monypeny
138;0;1;Futrelle;male;37.0;1;0;113803;53.1;C123;S; Mr;6; Jacques Heath
139;0;3;Osen;male;16.0;0;0;7534;92.167;;S; Mr;6; Olaf Elon
140;0;1;Giglio;male;24.0;0;0;PC 17593;79.2;B86;C; Mr;6; Victor
142;1;3;Nysten;female;22.0;0;0;347081;7.75;;S; Miss;2; Anna Sofia
143;1;3;Hakkarainen;female;24.0;1;0;STON/O2. 3101279;15.85;;S; Mrs;8; Pekka Pietari (Elin Matilda Dolck)
144;0;3;Burke;male;19.0;0;0;365222;6.75;;Q; Mr;6; Jeremiah
145;0;2;Andrew;male;18.0;0;0;231945;11.5;;S; Mr;6; Edgardo Samuel
146;0;2;Nicholls;male;19.0;1;1;C.A. 33112;36.75;;S; Mr;6; Joseph Charles
147;1;3;Andersson;male;27.0;0;0;350043;77.958;;S; Mr;6;" August Edvard (""Wennerstrom"")"
148;0;3;Ford;female;9.0;2;2;W./C. 6608;34.375;;S; Miss;2;" Robina Maggie ""Ruby"""
149;0;2;Navratil;male;36.5;0;2;230080;26.0;F2;S; Mr;6;" Michel (""Louis M Hoffman"")"
150;0;2;Byles;male;42.0;0;0;244310;13.0;;S; Rev;12; Thomas Roussel Davids
151;0;2;Bateman;male;51.0;0;0;S.O.P. 1166;12.525;;S; Rev;12; Robert James
152;1;1;Pears;female;22.0;1;0;113776;66.6;C2;S; Mrs;8; Thomas (Edith Wearne)
153;0;3;Meo;male;55.5;0;0;A.5. 11206;8.05;;S; Mr;6; Alfonzo
154;0;3;van Billiard;male;40.5;0;2;A/5. 851;14.5;;S; Mr;6; Austin Blyler
156;0;1;Williams;male;51.0;0;1;PC 17597;613.792;;C; Mr;6; Charles Duane
157;1;3;Gilnagh;female;16.0;0;0;35851;77.333;;Q; Miss;2;" Katherine ""Katie"""
158;0;3;Corn;male;30.0;0;0;SOTON/OQ 392090;8.05;;S; Mr;6; Harry
161;0;3;Cribb;male;44.0;0;1;371362;16.1;;S; Mr;6; John Hatfield
162;1;2;Watt;female;40.0;0;0;C.A. 33595;15.75;;S; Mrs;8;" James (Elizabeth ""Bessie"" Inglis Milne)"
163;0;3;Bengtsson;male;26.0;0;0;347068;7.775;;S; Mr;6; John Viktor
164;0;3;Calic;male;17.0;0;0;315093;86.625;;S; Mr;6; Jovo
165;0;3;Panula;male;1.0;4;1;3101295;396.875;;S; Master;1; Eino Viljami
166;1;3;Goldsmith;male;9.0;0;2;363291;20.525;;S; Master;1;" Frank John William ""Frankie"""
168;0;3;Skoog;female;45.0;1;4;347088;27.9;;S; Mrs;8; William (Anna Bernhardina Karlsson)
170;0;3;Ling;male;28.0;0;0;1601;564.958;;S; Mr;6; Lee
171;0;1;Van der hoef;male;61.0;0;0;111240;33.5;B19;S; Mr;6; Wyckoff
172;0;3;Rice;male;4.0;4;1;382652;29.125;;Q; Master;1; Arthur
173;1;3;Johnson;female;1.0;1;1;347742;111.333;;S; Miss;2; Eleanor Ileen
174;0;3;Sivola;male;21.0;0;0;STON/O 2. 3101280;7.925;;S; Mr;6; Antti Wilhelm
175;0;1;Smith;male;56.0;0;0;17764;306.958;A7;C; Mr;6; James Clinch
176;0;3;Klasen;male;18.0;1;1;350404;78.542;;S; Mr;6; Klas Albin
178;0;1;Isham;female;50.0;0;0;PC 17595;287.125;C49;C; Miss;2; Ann Elizabeth
179;0;2;Hale;male;30.0;0;0;250653;13.0;;S; Mr;6; Reginald
180;0;3;Leonard;male;36.0;0;0;LINE;0.0;;S; Mr;6; Lionel
183;0;3;Asplund;male;9.0;4;2;347077;313.875;;S; Master;1; Clarence Gustaf Hugo
184;1;2;Becker;male;1.0;2;1;230136;39.0;F4;S; Master;1; Richard F
185;1;3;Kink-Heilmann;female;4.0;0;2;315153;22.025;;S; Miss;2; Luise Gretchen
188;1;1;Romaine;male;45.0;0;0;111428;26.55;;S; Mr;6;" Charles Hallace (""Mr C Rolmane"")"
189;0;3;Bourke;male;40.0;1;1;364849;15.5;;Q; Mr;6; John
190;0;3;Turcin;male;36.0;0;0;349247;78.958;;S; Mr;6; Stjepan
191;1;2;Pinsky;female;32.0;0;0;234604;13.0;;S; Mrs;8; (Rosa)
192;0;2;Carbines;male;19.0;0;0;28424;13.0;;S; Mr;6; William
193;1;3;Andersen-Jensen;female;19.0;1;0;350046;78.542;;S; Miss;2; Carla Christine Nielsine
194;1;2;Navratil;male;3.0;1;1;230080;26.0;F2;S; Master;1; Michel M
195;1;1;Brown;female;44.0;0;0;PC 17610;277.208;B4;C; Mrs;8; James Joseph (Margaret Tobin)
196;1;1;Lurette;female;58.0;0;0;PC 17569;1.465.208;B80;C; Miss;2; Elise
198;0;3;Olsen;male;42.0;0;1;4579;84.042;;S; Mr;6; Karl Siegwart Andreas
200;0;2;Yrois;female;24.0;0;0;248747;13.0;;S; Miss;2;" Henriette (""Mrs Harbeck"")"
201;0;3;Vande Walle;male;28.0;0;0;345770;9.5;;S; Mr;6; Nestor Cyriel
203;0;3;Johanson;male;34.0;0;0;3101264;64.958;;S; Mr;6; Jakob Alfred
204;0;3;Youseff;male;45.5;0;0;2628;7.225;;C; Mr;6; Gerious
205;1;3;Cohen;male;18.0;0;0;A/5 3540;8.05;;S; Mr;6;" Gurshon ""Gus"""
206;0;3;Strom;female;2.0;0;1;347054;104.625;G6;S; Miss;2; Telma Matilda
207;0;3;Backstrom;male;32.0;1;0;3101278;15.85;;S; Mr;6; Karl Alfred
208;1;3;Albimona;male;26.0;0;0;2699;187.875;;C; Mr;6; Nassef Cassem
209;1;3;Carr;female;16.0;0;0;367231;7.75;;Q; Miss;2;" Helen ""Ellen"""
210;1;1;Blank;male;40.0;0;0;112277;31.0;A31;C; Mr;6; Henry
211;0;3;Ali;male;24.0;0;0;SOTON/O.Q. 3101311;7.05;;S; Mr;6; Ahmed
212;1;2;Cameron;female;35.0;0;0;F.C.C. 13528;21.0;;S; Miss;2; Clear Annie
213;0;3;Perkin;male;22.0;0;0;A/5 21174;7.25;;S; Mr;6; John Henry
214;0;2;Givard;male;30.0;0;0;250646;13.0;;S; Mr;6; Hans Kristensen
216;1;1;Newell;female;31.0;1;0;35273;113.275;D36;C; Miss;2; Madeleine
217;1;3;Honkanen;female;27.0;0;0;STON/O2. 3101283;7.925;;S; Miss;2; Eliina
218;0;2;Jacobsohn;male;42.0;1;0;243847;27.0;;S; Mr;6; Sidney Samuel
219;1;1;Bazzani;female;32.0;0;0;11813;762.917;D15;C; Miss;2; Albina
220;0;2;Harris;male;30.0;0;0;W/C 14208;10.5;;S; Mr;6; Walter
221;1;3;Sunderland;male;16.0;0;0;SOTON/OQ 392089;8.05;;S; Mr;6; Victor Francis
222;0;2;Bracken;male;27.0;0;0;220367;13.0;;S; Mr;6; James H
223;0;3;Green;male;51.0;0;0;21440;8.05;;S; Mr;6; George Henry
225;1;1;Hoyt;male;38.0;1;0;19943;90.0;C93;S; Mr;6; Frederick Maxfield
226;0;3;Berglund;male;22.0;0;0;PP 4348;9.35;;S; Mr;6; Karl Ivar Sven
227;1;2;Mellors;male;19.0;0;0;SW/PP 751;10.5;;S; Mr;6; William John
228;0;3;Lovell;male;20.5;0;0;A/5 21173;7.25;;S; Mr;6;" John Hall (""Henry"")"
229;0;2;Fahlstrom;male;18.0;0;0;236171;13.0;;S; Mr;6; Arne Jonas
231;1;1;Harris;female;35.0;1;0;36973;83.475;C83;S; Mrs;8; Henry Birkhardt (Irene Wallach)
232;0;3;Larsson;male;29.0;0;0;347067;7.775;;S; Mr;6; Bengt Edvin
233;0;2;Sjostedt;male;59.0;0;0;237442;13.5;;S; Mr;6; Ernst Adolf
234;1;3;Asplund;female;5.0;4;2;347077;313.875;;S; Miss;2; Lillian Gertrud
235;0;2;Leyson;male;24.0;0;0;C.A. 29566;10.5;;S; Mr;6; Robert William Norman
237;0;2;Hold;male;44.0;1;0;26707;26.0;;S; Mr;6; Stephen
238;1;2;Collyer;female;8.0;0;2;C.A. 31921;26.25;;S; Miss;2;" Marjorie ""Lottie"""
239;0;2;Pengelly;male;19.0;0;0;28665;10.5;;S; Mr;6; Frederick William
240;0;2;Hunt;male;33.0;0;0;SCO/W 1585;12.275;;S; Mr;6; George Henry
243;0;2;Coleridge;male;29.0;0;0;W./C. 14263;10.5;;S; Mr;6; Reginald Charles
244;0;3;Maenpaa;male;22.0;0;0;STON/O 2. 3101275;7.125;;S; Mr;6; Matti Alexanteri
245;0;3;Attalah;male;30.0;0;0;2694;7.225;;C; Mr;6; Sleiman
246;0;1;Minahan;male;44.0;2;0;19928;90.0;C78;Q; Dr;11; William Edward
247;0;3;Lindahl;female;25.0;0;0;347071;7.775;;S; Miss;2; Agda Thorilda Viktoria
248;1;2;Hamalainen;female;24.0;0;2;250649;14.5;;S; Mrs;8; William (Anna)
249;1;1;Beckwith;male;37.0;1;1;11751;525.542;D35;S; Mr;6; Richard Leonard
250;0;2;Carter;male;54.0;1;0;244252;26.0;;S; Rev;12; Ernest Courtenay
252;0;3;Strom;female;29.0;1;1;347054;104.625;G6;S; Mrs;8; Wilhelm (Elna Matilda Persson)
253;0;1;Stead;male;62.0;0;0;113514;26.55;C87;S; Mr;6; William Thomas
254;0;3;Lobb;male;30.0;1;0;A/5. 3336;16.1;;S; Mr;6; William Arthur
255;0;3;Rosblom;female;41.0;0;2;370129;202.125;;S; Mrs;8; Viktor (Helena Wilhelmina)
256;1;3;Touma;female;29.0;0;2;2650;152.458;;C; Mrs;8; Darwis (Hanne Youssef Razi)
258;1;1;Cherry;female;30.0;0;0;110152;86.5;B77;S; Miss;2; Gladys
259;1;1;Ward;female;35.0;0;0;PC 17755;5.123.292;;C; Miss;2; Anna
260;1;2;Parrish;female;50.0;0;1;230433;26.0;;S; Mrs;8; (Lutie Davis)
262;1;3;Asplund;male;3.0;4;2;347077;313.875;;S; Master;1; Edvin Rojj Felix
263;0;1;Taussig;male;52.0;1;1;110413;79.65;E67;S; Mr;6; Emil
264;0;1;Harrison;male;40.0;0;0;112059;0.0;B94;S; Mr;6; William
266;0;2;Reeves;male;36.0;0;0;C.A. 17248;10.5;;S; Mr;6; David
267;0;3;Panula;male;16.0;4;1;3101295;396.875;;S; Mr;6; Ernesti Arvid
268;1;3;Persson;male;25.0;1;0;347083;7.775;;S; Mr;6; Ernst Ulrik
269;1;1;Graham;female;58.0;0;1;PC 17582;1.534.625;C125;S; Mrs;8; William Thompson (Edith Junkins)
270;1;1;Bissette;female;35.0;0;0;PC 17760;1.356.333;C99;S; Miss;2; Amelia
272;1;3;Tornquist;male;25.0;0;0;LINE;0.0;;S; Mr;6; William Henry
273;1;2;Mellinger;female;41.0;0;1;250644;19.5;;S; Mrs;8; (Elizabeth Anne Maidment)
274;0;1;Natsch;male;37.0;0;1;PC 17596;29.7;C118;C; Mr;6; Charles H
276;1;1;Andrews;female;63.0;1;0;13502;779.583;D7;S; Miss;2; Kornelia Theodosia
277;0;3;Lindblom;female;45.0;0;0;347073;7.75;;S; Miss;2; Augusta Charlotta
279;0;3;Rice;male;7.0;4;1;382652;29.125;;Q; Master;1; Eric
280;1;3;Abbott;female;35.0;1;1;C.A. 2673;20.25;;S; Mrs;8; Stanton (Rosa Hunt)
281;0;3;Duane;male;65.0;0;0;336439;7.75;;Q; Mr;6; Frank
282;0;3;Olsson;male;28.0;0;0;347464;78.542;;S; Mr;6; Nils Johan Goransson
283;0;3;de Pelsmaeker;male;16.0;0;0;345778;9.5;;S; Mr;6; Alfons
284;1;3;Dorking;male;19.0;0;0;A/5. 10482;8.05;;S; Mr;6; Edward Arthur
286;0;3;Stankovic;male;33.0;0;0;349239;86.625;;C; Mr;6; Ivan
287;1;3;de Mulder;male;30.0;0;0;345774;9.5;;S; Mr;6; Theodore
288;0;3;Naidenoff;male;22.0;0;0;349206;78.958;;S; Mr;6; Penko
289;1;2;Hosono;male;42.0;0;0;237798;13.0;;S; Mr;6; Masabumi
290;1;3;Connolly;female;22.0;0;0;370373;7.75;;Q; Miss;2; Kate
291;1;1;Barber;female;26.0;0;0;19877;78.85;;S; Miss;2;" Ellen ""Nellie"""
292;1;1;Bishop;female;19.0;1;0;11967;910.792;B49;C; Mrs;8; Dickinson H (Helen Walton)
293;0;2;Levy;male;36.0;0;0;SC/Paris 2163;12.875;D;C; Mr;6; Rene Jacques
294;0;3;Haas;female;24.0;0;0;349236;8.85;;S; Miss;2; Aloisia
295;0;3;Mineff;male;24.0;0;0;349233;78.958;;S; Mr;6; Ivan
297;0;3;Hanna;male;23.5;0;0;2693;72.292;;C; Mr;6; Mansour
298;0;1;Allison;female;2.0;1;2;113781;151.55;C22 C26;S; Miss;2; Helen Loraine
300;1;1;Baxter;female;50.0;0;1;PC 17558;2.475.208;B58 B60;C; Mrs;8; James (Helene DeLaudeniere Chaput)
303;0;3;Johnson;male;19.0;0;0;LINE;0.0;;S; Mr;6; William Cahoone Jr
306;1;1;Allison;male;0.92;1;2;113781;151.55;C22 C26;S; Master;1; Hudson Trevor
308;1;1;Penasco y Castellana;female;17.0;1;0;PC 17758;108.9;C65;C; Mrs;8; Victor de Satode (Maria Josefa Perez de Soto y Vallejo)
309;0;2;Abelson;male;30.0;1;0;P/PP 3381;24.0;;C; Mr;6; Samuel
310;1;1;Francatelli;female;30.0;0;0;PC 17485;569.292;E36;C; Miss;2; Laura Mabel
311;1;1;Hays;female;24.0;0;0;11767;831.583;C54;C; Miss;2; Margaret Bechstein
312;1;1;Ryerson;female;18.0;2;2;PC 17608;262.375;B57 B59 B63 B66;C; Miss;2; Emily Borie
313;0;2;Lahtinen;female;26.0;1;1;250651;26.0;;S; Mrs;8; William (Anna Sylfven)
314;0;3;Hendekovic;male;28.0;0;0;349243;78.958;;S; Mr;6; Ignjac
315;0;2;Hart;male;43.0;1;1;F.C.C. 13529;26.25;;S; Mr;6; Benjamin
316;1;3;Nilsson;female;26.0;0;0;347470;78.542;;S; Miss;2; Helmina Josefina
317;1;2;Kantor;female;24.0;1;0;244367;26.0;;S; Mrs;8; Sinai (Miriam Sternin)
318;0;2;Moraweck;male;54.0;0;0;29011;14.0;;S; Dr;11; Ernest
319;1;1;Wick;female;31.0;0;2;36928;1.648.667;C7;S; Miss;2; Mary Natalie
320;1;1;Spedden;female;40.0;1;1;16966;134.5;E34;C; Mrs;8; Frederic Oakley (Margaretta Corning Stone)
321;0;3;Dennis;male;22.0;0;0;A/5 21172;7.25;;S; Mr;6; Samuel
322;0;3;Danoff;male;27.0;0;0;349219;78.958;;S; Mr;6; Yoto
323;1;2;Slayter;female;30.0;0;0;234818;12.35;;Q; Miss;2; Hilda Mary
324;1;2;Caldwell;female;22.0;1;1;248738;29.0;;S; Mrs;8; Albert Francis (Sylvia Mae Harbaugh)
326;1;1;Young;female;36.0;0;0;PC 17760;1.356.333;C32;C; Miss;2; Marie Grice
327;0;3;Nysveen;male;61.0;0;0;345364;62.375;;S; Mr;6; Johan Hansen
328;1;2;Ball;female;36.0;0;0;28551;13.0;D;S; Mrs;8; (Ada E Hall)
329;1;3;Goldsmith;female;31.0;1;1;363291;20.525;;S; Mrs;8; Frank John (Emily Alice Brown)
330;1;1;Hippach;female;16.0;0;1;111361;579.792;B18;C; Miss;2; Jean Gertrude
332;0;1;Partner;male;45.5;0;0;113043;28.5;C124;S; Mr;6; Austen
333;0;1;Graham;male;38.0;0;1;PC 17582;1.534.625;C91;S; Mr;6; George Edward
334;0;3;Vander Planke;male;16.0;2;0;345764;18.0;;S; Mr;6; Leo Edmondus
337;0;1;Pears;male;29.0;1;0;113776;66.6;C2;S; Mr;6; Thomas Clinton
338;1;1;Burns;female;41.0;0;0;16966;134.5;E40;C; Miss;2; Elizabeth Margaret
339;1;3;Dahl;male;45.0;0;0;7598;8.05;;S; Mr;6; Karl Edwart
340;0;1;Blackwell;male;45.0;0;0;113784;35.5;T;S; Mr;6; Stephen Weart
341;1;2;Navratil;male;2.0;1;1;230080;26.0;F2;S; Master;1; Edmond Roger
342;1;1;Fortune;female;24.0;3;2;19950;263.0;C23 C25 C27;S; Miss;2; Alice Elizabeth
343;0;2;Collander;male;28.0;0;0;248740;13.0;;S; Mr;6; Erik Gustaf
344;0;2;Sedgwick;male;25.0;0;0;244361;13.0;;S; Mr;6; Charles Frederick Waddington
345;0;2;Fox;male;36.0;0;0;229236;13.0;;S; Mr;6; Stanley Hubert
346;1;2;Brown;female;24.0;0;0;248733;13.0;F33;S; Miss;2;" Amelia ""Mildred"""
347;1;2;Smith;female;40.0;0;0;31418;13.0;;S; Miss;2; Marion Elsie
349;1;3;Coutts;male;3.0;1;1;C.A. 37671;15.9;;S; Master;1;" William Loch ""William"""
350;0;3;Dimic;male;42.0;0;0;315088;86.625;;S; Mr;6; Jovan
351;0;3;Odahl;male;23.0;0;0;7267;9.225;;S; Mr;6; Nils Martin
353;0;3;Elias;male;15.0;1;1;2695;72.292;;C; Mr;6; Tannous
354;0;3;Arnold-Franchi;male;25.0;1;0;349237;17.8;;S; Mr;6; Josef
